Messgerät,Messwert,Person,Monat
Laser,0.26264039859557065,Daniel,Jan
Thermometer,16,Carina,Jan
Laser,6,Carina,Jan
Radiometer,41.37412540145506,Bernd,Jan
Laser,26.633905309317385,Daniel,Jan
Laser,2,Carina,Jan
Laser,76.98425832348813,Ada,Jan
Radiometer,7.037469311903646,Daniel,Jan
Laser,33.126539036148536,Ada,Jan
Radiometer,3.9857794720080775,Bernd,Jan
Thermometer,33,Carina,Jan
Laser,49.95766452802461,Bernd,Jan
Laser,34,Carina,Jan
Laser,80.22748976101252,Ada,Jan
Laser,10.356524883780981,Bernd,Jan
Radiometer,18.207099871929717,Bernd,Jan
Laser,47.29104998694039,Ada,Jan
Thermometer,13,Carina,Jan
Thermometer,3.5973740605339772,Daniel,Jan
Laser,31,Carina,Jan
Thermometer,14,Carina,Jan
Radiometer,1.9646367074205064,Daniel,Jan
Thermometer,19,Carina,Jan
Radiometer,23.819476022694808,Bernd,Jan
Laser,1,Carina,Jan
Radiometer,14.276335404076358,Daniel,Jan
Thermometer,19,Carina,Jan
Thermometer,69.2552385530768,Ada,Jan
Radiometer,4.731600511620595,Daniel,Jan
Laser,19.657046194971578,Bernd,Jan
Laser,43.0062862072501,Daniel,Jan
Laser,41.47577874336973,Ada,Jan
Radiometer,57.150898717886434,Ada,Jan
Laser,33,Carina,Jan
Thermometer,5,Carina,Jan
Radiometer,21.099910970852203,Bernd,Jan
Laser,0,Carina,Jan
Radiometer,19.226711702519406,Ada,Jan
Radiometer,38.68551923886236,Bernd,Jan
Thermometer,21.92431378590241,Bernd,Jan
Thermometer,3.765972137821084,Daniel,Jan
Thermometer,46.51579940850454,Ada,Jan
Thermometer,40.663536967594965,Bernd,Jan
Radiometer,1.9672433611036342,Daniel,Jan
Thermometer,6.935787680080824,Bernd,Jan
Laser,0,Carina,Jan
Radiometer,1.1751596765555594,Bernd,Jan
Radiometer,17.44645276825194,Ada,Jan
Thermometer,23.326150097904545,Daniel,Jan
Radiometer,4,Carina,Jan
Radiometer,32,Carina,Jan
Thermometer,6,Carina,Jan
Laser,5.020189220616878,Bernd,Jan
Radiometer,11,Carina,Jan
Laser,38.09755876956071,Ada,Jan
Thermometer,27.022020806808577,Ada,Jan
Radiometer,28,Carina,Jan
Thermometer,46.871815525181184,Ada,Jan
Radiometer,42.19033402585415,Bernd,Jan
Radiometer,56.461750900222505,Ada,Jan
Laser,0.7002553364739483,Bernd,Jan
Laser,93.43713120795019,Ada,Jan
Laser,38.71039546366792,Ada,Jan
Radiometer,44.21916265731674,Bernd,Jan
Radiometer,2.3883970138926736,Ada,Jan
Laser,11.875694595546477,Bernd,Jan
Radiometer,8.208140715175565,Bernd,Jan
Laser,16.796241961779135,Ada,Jan
Thermometer,31,Carina,Jan
Laser,37.24118394225757,Bernd,Jan
Radiometer,12,Carina,Jan
Thermometer,0.0,Daniel,Jan
Radiometer,6,Carina,Jan
Laser,3,Carina,Jan
Radiometer,6,Carina,Jan
Thermometer,42.03704614132657,Ada,Jan
Thermometer,49.96038599549849,Bernd,Jan
Thermometer,15,Carina,Jan
Laser,24.287445423588004,Bernd,Jan
Thermometer,34.507069251068586,Daniel,Jan
Laser,45.42291821764586,Ada,Jan
Laser,1.1361071007059353,Bernd,Jan
Radiometer,1.2882771093807848,Daniel,Jan
Laser,14.780495169539387,Bernd,Jan
Thermometer,10.686122413463604,Daniel,Jan
Thermometer,38.45785358198437,Bernd,Jan
Laser,7.331158516618502,Bernd,Jan
Radiometer,1.2356818530290636,Bernd,Jan
Radiometer,37.79188537187767,Daniel,Jan
Laser,21,Carina,Jan
Thermometer,3.7494664611878794,Daniel,Jan
Laser,29,Carina,Jan
Thermometer,36.4130361987611,Daniel,Jan
Laser,92.61642738495624,Ada,Jan
Radiometer,6.51281834113221,Ada,Jan
Laser,10.324383279603254,Daniel,Jan
Radiometer,37.49122283078458,Bernd,Jan
Thermometer,20.686900610385187,Daniel,Feb
Laser,4.005815378517354,Daniel,Feb
Radiometer,39.83499878697875,Bernd,Feb
Thermometer,24.728699440858193,Bernd,Feb
Thermometer,22.793558930395207,Ada,Feb
Thermometer,27.52963348019741,Ada,Feb
Radiometer,6,Carina,Feb
Radiometer,18.266271435312365,Ada,Feb
Thermometer,0.48741802645337895,Bernd,Feb
Radiometer,0.5810314833717027,Daniel,Feb
Radiometer,7,Carina,Feb
Laser,10,Carina,Feb
Thermometer,0.06213374122753379,Daniel,Feb
Thermometer,20,Carina,Feb
Laser,21,Carina,Feb
Radiometer,20.90579613738157,Bernd,Feb
Laser,28.971030051066606,Bernd,Feb
Radiometer,9,Carina,Feb
Laser,23,Carina,Feb
Thermometer,26.564619143556925,Daniel,Feb
Radiometer,22.7501182981977,Bernd,Feb
Thermometer,0.299475665548245,Daniel,Feb
Thermometer,28,Carina,Feb
Radiometer,0.8178026183028887,Daniel,Feb
Radiometer,27,Carina,Feb
Radiometer,34,Carina,Feb
Radiometer,24,Carina,Feb
Laser,4.268915547448282,Ada,Feb
Radiometer,90.75478761517218,Ada,Feb
Thermometer,38.3722810649931,Daniel,Feb
Thermometer,7.658141084693034,Daniel,Feb
Radiometer,91.61526329658612,Ada,Feb
