Messgerät,Messwert,Person,Monat
Laser,0.5195919355005074,Bernd,Jan
Radiometer,35.00537117711629,Ada,Jan
Radiometer,14.900154241389464,Daniel,Jan
Thermometer,66.52790367460155,Ada,Jan
Laser,6,Carina,Jan
Laser,40.781151141318325,Bernd,Jan
Thermometer,40.68433853535434,Bernd,Jan
Thermometer,65.61438670163501,Ada,Jan
Radiometer,63.14054354868471,Ada,Jan
Thermometer,80.15156300331716,Ada,Jan
Laser,0.9210566749758102,Daniel,Jan
Laser,10.388261198170744,Daniel,Jan
Laser,11,Carina,Jan
Thermometer,21.81251968418323,Bernd,Jan
Thermometer,34,Carina,Jan
Radiometer,92.80593747099421,Ada,Jan
Thermometer,24.209852621850125,Daniel,Jan
Laser,25.27771868472569,Bernd,Jan
Thermometer,12.470629406673535,Daniel,Jan
Laser,35,Carina,Jan
Radiometer,16.74043073879188,Ada,Jan
Laser,8.64831283099765,Bernd,Jan
Laser,4.126935174139106,Daniel,Jan
Radiometer,30.888567152856833,Bernd,Jan
Thermometer,17.10669715160656,Daniel,Jan
Laser,25.53494644565818,Daniel,Jan
Laser,5.243202202968433,Ada,Jan
Thermometer,13.087315964917495,Daniel,Jan
Thermometer,70.4777752761629,Ada,Jan
Thermometer,12,Carina,Jan
Laser,90.20457637240304,Ada,Jan
Radiometer,10.048753573745472,Bernd,Jan
Radiometer,10.993038879198512,Daniel,Jan
Laser,19.192910274526543,Bernd,Jan
Thermometer,26.018790810316485,Daniel,Jan
Radiometer,8.766635664699601,Bernd,Jan
Laser,15,Carina,Jan
Laser,27.388702499546223,Daniel,Jan
Radiometer,44.63201316876845,Bernd,Jan
Laser,57.25756416131631,Ada,Jan
Thermometer,16.92538890584118,Bernd,Jan
Thermometer,1.6761384902427623,Bernd,Jan
Radiometer,48.71886273653342,Bernd,Jan
Radiometer,25.074098361955286,Bernd,Jan
Radiometer,32,Carina,Jan
Laser,15,Carina,Jan
Thermometer,93.08036238719443,Ada,Jan
Radiometer,8,Carina,Jan
Laser,33,Carina,Jan
Laser,0,Carina,Jan
Thermometer,2.9792371314648793,Bernd,Jan
Radiometer,1,Carina,Jan
Radiometer,52.698413236914774,Ada,Jan
Laser,47.69427270929486,Bernd,Jan
Radiometer,18.33087522561163,Daniel,Jan
Thermometer,22.546998278299395,Daniel,Jan
Laser,26,Carina,Jan
Radiometer,21,Carina,Jan
Thermometer,31.991259072824807,Daniel,Jan
Laser,33,Carina,Jan
Thermometer,30,Carina,Jan
Radiometer,1.4310345284431376,Daniel,Jan
Laser,42.176535853513144,Bernd,Jan
Laser,14.497521574936783,Daniel,Jan
Laser,16.56696731390852,Bernd,Jan
Thermometer,41.78302279435633,Bernd,Jan
Laser,30,Carina,Jan
Laser,40.20029271806923,Bernd,Jan
Thermometer,24.10304241576164,Daniel,Jan
Laser,10,Carina,Jan
Radiometer,11,Carina,Jan
Thermometer,24.307592053244175,Bernd,Jan
Laser,35,Carina,Jan
Laser,2,Carina,Jan
Thermometer,10.292808547095401,Bernd,Jan
Laser,14.298599625965991,Daniel,Jan
Laser,39.1828225324854,Bernd,Jan
Laser,99.61703355185412,Ada,Jan
Radiometer,8.37509433228486,Ada,Jan
Laser,19.173907260289948,Bernd,Jan
Radiometer,14,Carina,Jan
Laser,68.70316574175949,Ada,Jan
Thermometer,20.63560783514186,Daniel,Jan
Laser,3.695624847733697,Bernd,Jan
Thermometer,40.674815379709266,Daniel,Jan
Radiometer,19.693017991098387,Bernd,Jan
Thermometer,27,Carina,Jan
Thermometer,10.110686312423544,Ada,Jan
Laser,23.537755371838564,Ada,Jan
Laser,12.892360421202625,Daniel,Feb
Thermometer,13.318763341136647,Bernd,Feb
Radiometer,86.33135143967637,Ada,Feb
Laser,60.956191353700376,Ada,Feb
Thermometer,33.20065336166734,Daniel,Feb
Thermometer,23.24528807842436,Daniel,Feb
Laser,28.964117430870935,Bernd,Feb
Laser,6,Carina,Feb
Thermometer,32.3563290441018,Bernd,Feb
Laser,4,Carina,Feb
Radiometer,65.26786271765276,Ada,Feb
Thermometer,0.5023111204530695,Bernd,Feb
