Messgerät,Messwert,Person,Monat
Radiometer,92.60086151569172,Ada,Jan
Thermometer,6.703532347510009,Daniel,Jan
Radiometer,8.259428401449508,Bernd,Jan
Radiometer,25.248859253613386,Ada,Jan
Radiometer,17,Carina,Jan
Thermometer,39.24711191766257,Ada,Jan
Radiometer,0,Carina,Jan
Laser,91.86580651748872,Ada,Jan
Thermometer,29.408331307515546,Ada,Jan
Laser,0.0,Daniel,Jan
Laser,85.9445645193201,Ada,Jan
Laser,2.756058661096883,Ada,Jan
Laser,1.7134978355101138,Ada,Jan
Thermometer,11,Carina,Jan
Thermometer,38.47838331190295,Ada,Jan
Laser,85.45376556647317,Ada,Jan
Radiometer,3,Carina,Jan
Radiometer,51.51429975524026,Ada,Jan
Laser,35.14762564064949,Bernd,Jan
Radiometer,14.996030401105015,Daniel,Jan
Radiometer,38.27440471362836,Bernd,Jan
Laser,28.652619524577982,Ada,Jan
Thermometer,31,Carina,Jan
Radiometer,15.145722038114489,Daniel,Jan
Laser,44.77149142957081,Ada,Jan
Thermometer,61.118148626525596,Ada,Jan
Radiometer,24.9805730721313,Daniel,Jan
Radiometer,4.317385915992279,Daniel,Jan
Thermometer,44.801058435048304,Ada,Jan
Thermometer,3.620585994256478,Daniel,Jan
Radiometer,3.694294984565939,Daniel,Jan
Radiometer,33,Carina,Jan
Laser,19.610313664872276,Bernd,Jan
Laser,20.69389735227862,Bernd,Jan
Thermometer,11.741515619444149,Bernd,Jan
Thermometer,55.48708792519128,Ada,Jan
Radiometer,33.18580451227525,Bernd,Jan
Laser,11.376439745348591,Daniel,Jan
Laser,19,Carina,Jan
Laser,44.52346033877584,Bernd,Jan
Radiometer,1.2963732611315393,Bernd,Jan
Radiometer,1.1120454249000544,Bernd,Jan
Thermometer,6.820980780750394,Daniel,Jan
Laser,73.30913980524466,Ada,Jan
Thermometer,3.1436665020197125,Daniel,Jan
Thermometer,18,Carina,Jan
Radiometer,3.590310568693378,Bernd,Jan
Laser,0.0,Daniel,Jan
Laser,38.926515501068224,Ada,Jan
Laser,0.6563249739104556,Daniel,Jan
Radiometer,25.364744061651066,Ada,Jan
Laser,16,Carina,Jan
Laser,19.233098405750948,Bernd,Jan
Thermometer,2,Carina,Jan
Laser,2.7884976657580163,Bernd,Jan
Thermometer,3,Carina,Jan
Thermometer,13.234763169734176,Bernd,Jan
Laser,78.72726496043573,Ada,Jan
Radiometer,11,Carina,Jan
Radiometer,10.412756640361764,Daniel,Jan
Thermometer,19.891208085511526,Ada,Jan
