Messgerät,Messwert,Person,Monat
Laser,16.5134678221989,Ada,Jan
Laser,41.22542327244501,Ada,Jan
Thermometer,68.41636949766591,Ada,Jan
Radiometer,69.6238430768369,Ada,Jan
Radiometer,27.02823008748473,Ada,Jan
Thermometer,27,Carina,Jan
Radiometer,34.15827340910938,Bernd,Jan
Radiometer,28.611629741701073,Bernd,Jan
Thermometer,18.460151596903962,Daniel,Jan
Radiometer,2.530978416205426,Bernd,Jan
Radiometer,14.587340775069924,Bernd,Jan
Thermometer,70.3013334930037,Ada,Jan
Radiometer,8.364391321231256,Bernd,Jan
Radiometer,30,Carina,Jan
Laser,39.93167655739099,Ada,Jan
Thermometer,18,Carina,Jan
Radiometer,15,Carina,Jan
Thermometer,8.441640434142528,Daniel,Jan
Laser,0.0,Daniel,Jan
Radiometer,11.18625935601435,Bernd,Jan
Thermometer,32,Carina,Jan
Radiometer,13.180114495467985,Daniel,Jan
Thermometer,7,Carina,Jan
Radiometer,48.420700889554865,Bernd,Jan
Radiometer,73.56643675315607,Ada,Jan
Radiometer,21.909920379179432,Bernd,Jan
Laser,11,Carina,Jan
Thermometer,24.169168576188017,Bernd,Jan
Laser,9.364636494269693,Daniel,Jan
Laser,4.125436863258845,Daniel,Jan
Laser,57.82422262745206,Ada,Jan
Radiometer,3.0938831976105896,Daniel,Jan
Radiometer,28,Carina,Jan
Laser,25.506250825073863,Ada,Jan
Thermometer,98.20917058413946,Ada,Jan
Laser,14,Carina,Jan
Thermometer,8,Carina,Jan
Laser,4,Carina,Jan
Thermometer,52.519353173126845,Ada,Jan
Thermometer,3.7028635691753413,Daniel,Jan
Radiometer,1.5199190915201166,Bernd,Jan
Thermometer,2.7969820982436,Bernd,Jan
Thermometer,55.49567849494083,Ada,Jan
Laser,4.318052936747259,Daniel,Jan
Laser,5,Carina,Jan
Thermometer,9,Carina,Jan
Thermometer,21,Carina,Jan
Radiometer,6.798161892285774,Daniel,Jan
Laser,17,Carina,Jan
Laser,3.5231985289315073,Daniel,Jan
Thermometer,43.776146249198206,Bernd,Jan
Radiometer,8,Carina,Jan
Thermometer,31.583118618132378,Bernd,Jan
Thermometer,48.14168849659753,Ada,Jan
Laser,7.485649790274657,Bernd,Jan
Laser,37.707598722267285,Bernd,Jan
Laser,1.8648232617516924,Daniel,Jan
Radiometer,0.8849122756241763,Daniel,Jan
Radiometer,20.969770213914632,Daniel,Jan
Radiometer,45.23724853712804,Ada,Jan
Thermometer,30.661793687224236,Ada,Jan
Radiometer,8.738735328205227,Bernd,Jan
Laser,22.94384065398721,Daniel,Jan
Thermometer,1.722550535181309,Daniel,Feb
Thermometer,90.9993731653224,Ada,Feb
Thermometer,45.00325782810803,Ada,Feb
Thermometer,7,Carina,Feb
Radiometer,7.229326342015666,Daniel,Feb
Radiometer,29.681012537801955,Ada,Feb
Laser,41.28046806260349,Bernd,Feb
Thermometer,33,Carina,Feb
Thermometer,2.587286560974792,Daniel,Feb
Thermometer,46.03476305352592,Bernd,Feb
Laser,22,Carina,Feb
Laser,28.069024046101752,Ada,Feb
Radiometer,10.41304247745014,Bernd,Feb
Radiometer,27.606657622251916,Bernd,Feb
Radiometer,5.627944734282202,Daniel,Feb
Radiometer,22.103792616518675,Bernd,Feb
