Messgerät,Messwert,Person,Monat
Laser,29,Carina,Jan
Thermometer,9.02206733405102,Bernd,Jan
Laser,38.061601434117556,Bernd,Jan
Laser,72.63353887596054,Ada,Jan
Thermometer,30.579912804223298,Daniel,Jan
Thermometer,11.535298837904106,Daniel,Jan
Thermometer,6,Carina,Jan
Radiometer,7,Carina,Jan
Laser,24,Carina,Jan
Thermometer,8.565349526461357,Bernd,Jan
Radiometer,11.101423899050172,Daniel,Jan
Laser,55.08097505353554,Ada,Jan
Radiometer,23.101457787861584,Bernd,Jan
Thermometer,13.081952220696635,Bernd,Jan
Radiometer,9,Carina,Jan
Laser,24.188803924958318,Bernd,Jan
Laser,22.43226961858622,Ada,Jan
Thermometer,6.353198613101552,Ada,Jan
Laser,32.86619683195651,Bernd,Jan
Laser,21.581958009695263,Bernd,Jan
Thermometer,13,Carina,Jan
Radiometer,25.786644082572714,Bernd,Jan
Thermometer,7.423542362596547,Ada,Jan
Radiometer,27.487824917620653,Daniel,Jan
Thermometer,8,Carina,Jan
Radiometer,16,Carina,Jan
Laser,29.139959352464167,Bernd,Jan
Laser,5.652195340033944,Bernd,Jan
Radiometer,7,Carina,Jan
Laser,39.121915986746906,Bernd,Jan
Thermometer,2.275443722104975,Bernd,Jan
Thermometer,1.4764471884436026,Bernd,Jan
Thermometer,5,Carina,Jan
Radiometer,29.3233760424659,Bernd,Jan
Laser,15.271619455766272,Bernd,Jan
Radiometer,20,Carina,Jan
Thermometer,49.42723498448513,Bernd,Jan
Radiometer,80.10614700736302,Ada,Jan
Thermometer,30,Carina,Jan
Radiometer,13.348650448361665,Bernd,Jan
Radiometer,22.17219793466908,Daniel,Jan
Laser,15.374155251967924,Daniel,Jan
Radiometer,20.254263641022664,Bernd,Jan
Laser,26.153502934839334,Bernd,Jan
Radiometer,45.80786417558106,Ada,Jan
Radiometer,20.604640189092414,Ada,Jan
Laser,0.11652856689844526,Daniel,Jan
Laser,12.191451879608017,Bernd,Jan
Laser,11,Carina,Jan
Laser,52.262074133447165,Ada,Jan
Thermometer,21,Carina,Jan
Laser,10.824037956480584,Daniel,Jan
Radiometer,5.188655313088066,Daniel,Jan
Thermometer,14.711915512365326,Ada,Jan
Radiometer,42.93304182671545,Bernd,Jan
Thermometer,35.82610307217171,Ada,Jan
Laser,9.180478643205078,Daniel,Jan
Thermometer,9.537027691692465,Daniel,Jan
Laser,30.851450300923293,Daniel,Jan
Thermometer,4.573744220145648,Ada,Jan
Radiometer,27,Carina,Jan
Thermometer,97.81159726283776,Ada,Jan
Radiometer,3,Carina,Jan
Laser,39.343262378097236,Bernd,Jan
Thermometer,68.93660153196267,Ada,Jan
Thermometer,40.07241428875287,Ada,Jan
Laser,74.80037227291096,Ada,Jan
Radiometer,18.096051322201962,Bernd,Jan
Radiometer,33,Carina,Jan
Thermometer,26,Carina,Jan
Laser,14,Carina,Jan
Laser,42.30351672963143,Bernd,Jan
Laser,29,Carina,Jan
Radiometer,37.32360028993065,Daniel,Jan
Radiometer,27,Carina,Jan
Laser,1.9069074268463984,Daniel,Jan
Laser,26.989471730144203,Bernd,Jan
Thermometer,5,Carina,Jan
Radiometer,2,Carina,Jan
Laser,5.1780332306494214,Daniel,Jan
Radiometer,0.0,Daniel,Jan
Radiometer,56.367683174872916,Ada,Jan
Thermometer,20,Carina,Jan
Radiometer,12.90903372827978,Daniel,Jan
Radiometer,11.876573331087592,Bernd,Jan
Thermometer,33,Carina,Jan
Radiometer,2.142438925747836,Ada,Jan
Radiometer,43.19090427690514,Bernd,Jan
Laser,37.75637568844824,Ada,Jan
Radiometer,11.963125582912848,Daniel,Jan
Thermometer,63.81013251474714,Ada,Jan
Radiometer,43.41934091805934,Bernd,Jan
Thermometer,34.28050556270145,Bernd,Jan
Radiometer,10,Carina,Jan
Thermometer,9.288421919457225,Daniel,Jan
Thermometer,33.48847063717577,Bernd,Jan
Laser,69.70387831603693,Ada,Jan
Radiometer,46.13115876594386,Ada,Jan
Thermometer,12,Carina,Jan
Radiometer,34.03657954797799,Bernd,Jan
Thermometer,0.6182603176127954,Ada,Jan
Radiometer,38.51505770220009,Bernd,Jan
Laser,20,Carina,Jan
Laser,9.392217659935437,Bernd,Feb
Thermometer,23,Carina,Feb
Thermometer,1.5579406046083148,Daniel,Feb
Radiometer,8.590989641412257,Daniel,Feb
Laser,7.384754294220075,Daniel,Feb
Laser,9,Carina,Feb
Laser,21.777708552684906,Daniel,Feb
Laser,17,Carina,Feb
Laser,8,Carina,Feb
Laser,7.267317911333837,Ada,Feb
Thermometer,5.857341501083761,Daniel,Feb
Laser,8.413882501376941,Daniel,Feb
Laser,17.67186642238814,Ada,Feb
Thermometer,35,Carina,Feb
Thermometer,6,Carina,Feb
Thermometer,41.764514262855975,Ada,Feb
Laser,8.453390373023955,Daniel,Feb
Laser,16.47448370103078,Daniel,Feb
Radiometer,47.423814882913184,Bernd,Feb
Thermometer,21.266951328603994,Bernd,Feb
Laser,25,Carina,Feb
Thermometer,14.216030961646487,Bernd,Feb
Radiometer,0.4130299935094839,Ada,Feb
Radiometer,83.42233893269653,Ada,Feb
Thermometer,13,Carina,Feb
Laser,0.0,Daniel,Feb
Laser,19.557399157387312,Ada,Feb
Thermometer,21,Carina,Feb
Laser,12.645652923941412,Daniel,Feb
Thermometer,38.73999122071119,Bernd,Feb
Laser,17.986880962864362,Bernd,Feb
Radiometer,95.08086500880914,Ada,Feb
Radiometer,11,Carina,Feb
Radiometer,35,Carina,Feb
Thermometer,32,Carina,Feb
Radiometer,30.42726148878563,Daniel,Feb
Laser,23,Carina,Feb
Thermometer,27,Carina,Feb
Laser,20.253795728404707,Daniel,Feb
Laser,75.46808027290864,Ada,Feb
Laser,94.84950038373455,Ada,Feb
Thermometer,34.33282245834695,Bernd,Feb
Thermometer,30.342779833803675,Daniel,Feb
Laser,5.695207040417848,Daniel,Feb
Laser,19.638840216809715,Ada,Feb
Thermometer,23,Carina,Feb
Radiometer,29.81332068300685,Bernd,Feb
Thermometer,2.6881171901528638,Daniel,Feb
Thermometer,21,Carina,Feb
Radiometer,30.94424180220683,Ada,Feb
Thermometer,25.988143698200684,Bernd,Feb
Thermometer,1,Carina,Feb
Laser,3.197516333235146,Daniel,Feb
Radiometer,32.68607067796703,Bernd,Feb
Laser,2.6663363140751306,Daniel,Feb
Thermometer,88.6556554650515,Ada,Feb
Radiometer,21.978264759308868,Bernd,Feb
Radiometer,27.08059271199822,Daniel,Feb
Thermometer,4.842636223865758,Daniel,Feb
Radiometer,4.298053121201484,Bernd,Feb
Radiometer,5.547403000489509,Bernd,Feb
Thermometer,27.88982512343172,Bernd,Feb
Radiometer,30.976032974508712,Bernd,Feb
Thermometer,58.894423876384735,Ada,Feb
Laser,97.50838140022321,Ada,Feb
Radiometer,34.4826098418176,Daniel,Feb
Laser,20.575569733319636,Bernd,Feb
Thermometer,25,Carina,Feb
Radiometer,0.5893838495317446,Daniel,Feb
Thermometer,16.239376040593346,Ada,Feb
Thermometer,25.362351678862034,Bernd,Feb
Thermometer,7.234406827780432,Daniel,Feb
Radiometer,37.46733685667702,Bernd,Feb
Radiometer,5.921371296724592,Bernd,Feb
Laser,40.257536196541274,Bernd,Feb
Radiometer,88.23211602857548,Ada,Feb
Laser,6.741598373352248,Daniel,Feb
Thermometer,29,Carina,Feb
Radiometer,38.86711500533571,Bernd,Feb
Thermometer,1,Carina,Feb
Radiometer,29,Carina,Feb
Laser,28.238761732632845,Bernd,Feb
Laser,34.95993939402723,Bernd,Feb
Laser,89.11399061483843,Ada,Feb
Radiometer,41.99967006944594,Ada,Feb
Laser,15.68511804001769,Daniel,Feb
Thermometer,49.62046422054218,Bernd,Feb
Radiometer,27.523102077442896,Ada,Feb
Radiometer,3.059158705259163,Daniel,Feb
Thermometer,16,Carina,Feb
Laser,23.603056053740623,Ada,Feb
Radiometer,13.722428478176719,Ada,Feb
Thermometer,18,Carina,Feb
Radiometer,39.64015319464601,Ada,Feb
Thermometer,30.74756760726268,Ada,Feb
Thermometer,13.059767165205507,Daniel,Feb
Radiometer,36.94924064889168,Ada,Feb
Radiometer,3.0587464512745353,Daniel,Feb
Thermometer,10,Carina,Feb
